artistName|artistUri|songName|songUri|songDuration|songPopularity|played_at
10cc|spotify:artist:6i6WlGzQtXtz7GcC5H5st5|The Things We Do For Love|spotify:track:6KEWtSOGKpIXGw6l1uJgsR|207573|65|2021-04-16T15:02:06.831Z
Jackson Browne|spotify:artist:5lkiCO9UQ8B23dZ1o0UV4m|Running on Empty|spotify:track:3UrDYCWfY6fTsiA63NNL27|298093|62|2021-04-16T14:58:39.105Z
Todd Rundgren|spotify:artist:0Lpr5wXzWLtDWm1SjNbpPb|I Saw the Light - 2015 Remaster|spotify:track:5uRkew0DtfAQmv0oEYNwFF|180280|63|2021-04-16T14:53:40.520Z
Supertramp|spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx|Take The Long Way Home - 2010 Remastered|spotify:track:0v0XYK0pLgsPiq5u4FKHaw|308853|66|2021-04-16T14:50:39.759Z
Bob Seger|spotify:artist:485uL27bPomh29R4JmQehQ|Still The Same|spotify:track:1Ryxsiacu8pUXIMCVnIQ8J|203546|65|2021-04-16T14:45:30.424Z
The Doobie Brothers|spotify:artist:39T6qqI0jDtSWWioX8eGJz|Long Train Runnin'|spotify:track:4nXkbcTj3nyww1cHkw5RAP|207266|73|2021-04-16T14:42:06.388Z
The Band|spotify:artist:4vpDg7Y7fU982Ds30zawDA|The Weight - Remastered|spotify:track:0P7DoyGrr4Wp9w5TotEtUC|274493|74|2021-04-16T14:38:38.627Z
Faces|spotify:artist:3v4feUQnU3VEUqFrjmtekL|Stay With Me|spotify:track:7fLTytvnvxy653VWxflTRf|279360|64|2021-04-16T14:34:03.663Z
Three Dog Night|spotify:artist:4FAEZeJcsYYBkNq2D3KGTV|Never Been To Spain - Single Version|spotify:track:61OQuSzsom6geFCA18JwO6|226066|61|2021-04-16T14:29:23.830Z
Christopher Cross|spotify:artist:695W5F2Ih8dYahLdjVOIoH|Ride Like the Wind|spotify:track:7gUMShP1l20tC0xf17Zplk|275506|67|2021-04-16T14:25:37.269Z
The Honeydrippers|spotify:artist:7J7YRBSoiXpdTmcbkKZL2C|Sea of Love - 2006 Remaster|spotify:track:0VMGij4wSGBM5pSTcqjxeD|183880|53|2021-04-16T14:21:01.265Z
